SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
560,CPRI,5,24,24,616,54.54545455,45.45454545,2.87,97.88961039,98.35466179,0.548446069,10.55194805,8.530805687,2.06185567,35.22727273,24.35064935,64.7311828,172,8.139534884,358.1395349,38.95348837
561,CPRI,5,24,24,136,52.20588235,47.79411765,4.46,93.38235294,95.96774194,3.225806452,11.76470588,24.75247525,3.296703297,39.70588235,25,56.36363636,39,12.82051282,348.7179487,23.07692308
562,CPRI,5,24,24,571,51.48861646,48.51138354,2.81,95.44658494,97.8,1.6,5.429071804,12.91208791,5.3125,34.32574431,70.22767075,62.06896552,138,9.420289855,413.7681159,34.7826087
563,CPRI,5,24,24,426,54.69483568,45.30516432,3.15,95.07042254,98.67021277,0,13.84976526,8.080808081,5.072463768,33.56807512,26.76056338,60.0619195,117,10.25641026,364.1025641,35.8974359
564,CPRI,5,24,24,375,51.73333333,48.26666667,3.17,91.73333333,95.2238806,3.880597015,10.66666667,9.311740891,4.385964912,37.86666667,31.73333333,53.5971223,95,8.421052632,391.5789474,54.73684211
565,CPRI,5,24,24,1028,51.84824903,48.15175097,3.3,94.84435798,97.52421959,1.614639397,11.38132296,8.933717579,10.96979332,35.11673152,40.07782101,57.31225296,267,15.73033708,385.0187266,41.19850187
566,CPRI,5,24,24,1418,53.10296192,46.89703808,3.25,97.88434415,98.89240506,0.553797468,4.160789845,12.43301179,4.66507177,34.76727786,27.22143865,60.05774783,361,11.08033241,392.7977839,21.6066482
567,CPRI,5,24,24,1714,52.80046674,47.19953326,2.99,96.61610268,97.76357827,2.044728435,4.609101517,5.560382276,10.96282173,34.65577596,16.16102684,61.18012422,433,10.62355658,395.8429561,46.88221709
568,CPRI,5,24,24,405,54.07407407,45.92592593,4.12,93.82716049,98.14323607,1.326259947,14.32098765,10.03344482,9.187279152,38.27160494,35.30864198,59.14634146,111,9.90990991,364.8648649,43.24324324
569,CPRI,5,24,24,1243,51.48833467,48.51166533,2.84,97.02333065,98.74213836,0.718778077,2.091713596,8.612440191,6.040268456,34.83507643,24.2156074,62.95081967,328,11.58536585,378.9634146,31.40243902
570,CPRI,5,24,24,367,56.94822888,43.05177112,4.54,96.73024523,98.57142857,0.571428571,5.177111717,17.58241758,2.040816327,41.14441417,18.25613079,57.94701987,102,5.882352941,359.8039216,13.7254902
571,CPRI,5,24,24,1416,54.80225989,45.19774011,3.3,98.37570621,99.45011783,0.235663786,2.754237288,10.47717842,6.933019976,33.96892655,19.84463277,55.17890772,342,11.40350877,414.0350877,32.74853801
573,CPRI,5,24,24,745,56.37583893,43.62416107,3.7,94.22818792,98.52507375,1.327433628,3.489932886,18.4675835,1.525054466,36.10738255,15.97315436,56.20567376,190,7.894736842,392.1052632,23.68421053
574,CPRI,5,24,24,374,56.14973262,43.85026738,3.4,99.46524064,100,0,8.823529412,26,1.094890511,41.71122995,36.36363636,48.61538462,106,16.98113208,352.8301887,8.490566038
575,CPRI,5,24,24,563,53.46358792,46.53641208,3.95,96.62522202,98.81188119,0.594059406,6.039076377,12.31884058,3.421052632,38.36589698,32.3268206,64.36525612,160,10.625,351.875,28.75
576,CPRI,5,24,24,128,58.59375,41.40625,3.27,85.9375,98.31932773,1.680672269,6.25,28.71287129,1.020408163,45.3125,22.65625,60.37735849,40,2.5,320,25
577,CPAN,5,25,25,4421,50.05654829,49.94345171,2.27,82.62836462,96.64789488,1.716277822,3.664329337,2.696793003,22.14257268,38.9504637,24.47410088,62.66266266,1148,17.77003484,378.8327526,55.31358885
578,CPAN,5,25,25,1602,50.49937578,49.50062422,2.52,78.77652934,95.11331445,1.841359773,6.117353308,5.054151625,27.49003984,37.70287141,28.46441948,51.19538335,409,21.02689487,379.9511002,58.6797066
579,CPRI,5,25,25,746,51.07238606,48.92761394,2.77,83.6461126,97.53466872,0.30816641,5.495978552,4.562737643,21.36929461,36.72922252,29.75871314,53.02491103,215,26.51162791,338.6046512,48.37209302
580,CPRI,5,25,25,6784,50,50,2.47,78.83254717,94.88926746,2.998296422,3.950471698,2.79971285,18.64046734,36.93985849,23.06898585,61.6505895,1702,17.56756757,393.4782609,56.63924794
581,CPRI,5,25,25,3342,50.11968881,49.88031119,2.49,77.91741472,95.17863337,2.532084634,9.156193896,3.905160391,24.35633368,38.89886296,26.21184919,58.31570038,814,19.65601966,398.034398,57.61670762
582,CPAN,5,25,25,538,47.95539033,52.04460967,2.59,79.18215613,92.43353783,1.63599182,5.94795539,4.092071611,41.11111111,41.26394052,36.24535316,50.82742317,156,25,339.1025641,57.69230769
583,CPAN,5,25,25,648,51.08024691,48.91975309,2.61,74.53703704,92.41622575,3.350970018,9.87654321,4.042553191,34.88372093,40.74074074,36.11111111,53,192,30.20833333,332.8125,59.89583333
584,CPRI,5,25,25,559,46.86940966,53.13059034,2.97,77.1019678,92.5,1.458333333,9.302325581,5.063291139,30.89430894,37.56708408,30.05366726,48.0952381,169,33.13609467,316.5680473,46.74556213
