ANO,ELECCION,CODIGO_ESTADO,NOMBRE_ESTADO,NOMBRE_MUNICIPIO,DISTRITO_LOCAL_INE_2016,SECCION,NOMINAL,CNR,MORENA,NULOS,PAN,PNA,PRD,PRI,PRS,PSD,PT,PUP,PVEM
2016,gob,20,oaxaca,SANTIAGO XANICA,24,2147,482,0,72,5,,4,11,,5,4,7,1,
2016,gob,20,oaxaca,SANTIAGO XIACUI,9,2148,534,0,24,9,,8,47,,1,1,79,12,
2016,gob,20,oaxaca,SANTIAGO XIACUI,9,2149,700,0,63,9,,2,38,,2,21,14,110,
2016,gob,20,oaxaca,SANTIAGO YAITEPEC,23,2150,2619,13,411,,,15,214,,21,27,86,92,
2016,gob,20,oaxaca,SANTIAGO YAVEO,10,2151,601,0,23,20,,1,17,,0,2,181,0,
2016,gob,20,oaxaca,SANTIAGO YAVEO,10,2152,490,0,51,8,,5,13,,0,1,13,0,
2016,gob,20,oaxaca,SANTIAGO YAVEO,10,2153,1650,0,23,15,,0,29,,2,0,411,3,
2016,gob,20,oaxaca,SANTIAGO YAVEO,10,2154,906,0,21,21,,0,11,,2,2,212,1,
2016,gob,20,oaxaca,SANTIAGO YAVEO,10,2155,813,0,17,32,,1,62,,1,0,282,0,
2016,gob,20,oaxaca,SANTIAGO YOLOMÉCATL,8,2156,759,0,149,7,,4,41,,1,1,45,2,
2016,gob,20,oaxaca,SANTIAGO YOLOMÉCATL,8,2157,765,0,179,14,,2,120,,3,2,43,4,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2158,1230,0,110,39,,6,371,,4,5,49,4,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2159,616,0,35,176,,1,77,,0,2,15,1,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2160,910,0,65,14,,0,148,,1,4,18,1,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2161,309,0,51,32,,2,143,,0,4,26,1,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2162,858,0,40,22,,7,137,,3,5,17,2,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2163,620,0,82,11,,5,53,,1,2,18,2,
2016,gob,20,oaxaca,SANTIAGO YOSONDÚA,8,2164,1022,0,92,31,,8,228,,3,2,28,2,
2016,gob,20,oaxaca,SANTIAGO YUCUYACHI,6,2165,464,0,32,5,,3,137,,0,2,10,0,
2016,gob,20,oaxaca,SANTIAGO YUCUYACHI,6,2166,386,0,9,6,,1,21,,1,1,9,0,
2016,gob,20,oaxaca,SANTIAGO ZACATEPEC,10,2167,705,0,45,19,,1,41,,1,1,48,2,
2016,gob,20,oaxaca,SANTIAGO ZACATEPEC,10,2168,902,0,32,25,,2,55,,3,0,77,1,
2016,gob,20,oaxaca,SANTIAGO ZACATEPEC,10,2169,801,0,74,25,,5,13,,4,5,34,20,
2016,gob,20,oaxaca,SANTIAGO ZACATEPEC,10,2170,781,0,81,16,,5,22,,3,3,155,3,
2016,gob,20,oaxaca,SANTIAGO ZOOCHILA,9,2171,333,0,73,4,,4,17,,2,3,11,15,
2016,gob,20,oaxaca,SANTO DOMINGO ALBARRADAS,17,2172,576,0,83,10,,10,41,,1,5,23,3,
2016,gob,20,oaxaca,SANTO DOMINGO ARMENTA,22,2173,1220,0,36,22,,0,403,,1,2,100,3,
2016,gob,20,oaxaca,SANTO DOMINGO ARMENTA,22,2174,1054,0,33,23,,0,314,,0,9,61,1,
2016,gob,20,oaxaca,SANTO DOMINGO CHIHUITAN,18,2175,1038,0,197,19,,2,39,,1,5,353,3,
2016,gob,20,oaxaca,SANTO DOMINGO DE MORELOS,25,2176,1699,0,336,24,,5,55,,8,76,39,8,
2016,gob,20,oaxaca,SANTO DOMINGO DE MORELOS,25,2177,1992,0,347,28,,6,37,,17,27,40,4,
2016,gob,20,oaxaca,SANTO DOMINGO DE MORELOS,25,2178,1432,0,200,28,,7,65,,9,37,44,7,
2016,gob,20,oaxaca,SANTO DOMINGO DE MORELOS,25,2179,1670,0,225,49,,9,63,,7,34,31,5,
2016,gob,20,oaxaca,SANTO DOMINGO INGENIO,11,2180,852,0,82,33,,81,56,,0,2,26,1,
2016,gob,20,oaxaca,SANTO DOMINGO INGENIO,11,2181,1898,0,197,58,,132,160,,3,6,60,5,
2016,gob,20,oaxaca,SANTO DOMINGO INGENIO,11,2182,1654,0,190,52,,74,76,,5,4,38,8,
2016,gob,20,oaxaca,SANTO DOMINGO INGENIO,11,2183,669,0,65,16,,25,44,,0,1,21,1,
2016,gob,20,oaxaca,SANTO DOMINGO INGENIO,11,2184,1292,0,89,26,,57,45,,0,3,44,0,
2016,gob,20,oaxaca,SANTO DOMINGO IXCATLAN,8,2185,523,0,89,20,,5,86,,2,5,6,43,
2016,gob,20,oaxaca,SANTO DOMINGO NUXAA,,2186,497,0,17,5,,0,18,,2,1,47,5,
